LSTAT,INDUS,NOX,RM,MEDV
4.98,2.31,0.538,6.575,24
9.14,7.07,0.469,6.421,21.6
4.03,7.07,0.469,7.185,34.7
2.94,2.18,0.458,6.998,33.4
5.33,2.18,0.458,7.147,36.2
5.21,2.18,0.458,6.43,28.7
12.43,7.87,0.524,6.012,22.9
19.15,7.87,0.524,6.172,27.1
29.93,7.87,0.524,5.631,16.5
17.1,7.87,0.524,6.004,18.9
20.45,7.87,0.524,6.377,15
13.27,7.87,0.524,6.009,18.9
15.71,7.87,0.524,5.889,21.7
8.26,8.14,0.538,5.949,20.4
10.26,8.14,0.538,6.096,18.2
8.47,8.14,0.538,5.834,19.9
6.58,8.14,0.538,5.935,23.1
14.67,8.14,0.538,5.99,17.5
11.69,8.14,0.538,5.456,20.2
11.28,8.14,0.538,5.727,18.2
21.02,8.14,0.538,5.57,13.6
13.83,8.14,0.538,5.965,19.6
18.72,8.14,0.538,6.142,15.2
19.88,8.14,0.538,5.813,14.5
16.3,8.14,0.538,5.924,15.6
16.51,8.14,0.538,5.599,13.9
14.81,8.14,0.538,5.813,16.6
17.28,8.14,0.538,6.047,14.8
12.8,8.14,0.538,6.495,18.4
11.98,8.14,0.538,6.674,21
22.6,8.14,0.538,5.713,12.7
13.04,8.14,0.538,6.072,14.5
27.71,8.14,0.538,5.95,13.2
18.35,8.14,0.538,5.701,13.1
20.34,8.14,0.538,6.096,13.5
9.68,5.96,0.499,5.933,18.9
11.41,5.96,0.499,5.841,20
8.77,5.96,0.499,5.85,21
10.13,5.96,0.499,5.966,24.7
4.32,2.95,0.428,6.595,30.8
1.98,2.95,0.428,7.024,34.9
4.84,6.91,0.448,6.77,26.6
5.81,6.91,0.448,6.169,25.3
7.44,6.91,0.448,6.211,24.7
9.55,6.91,0.448,6.069,21.2
10.21,6.91,0.448,5.682,19.3
14.15,6.91,0.448,5.786,20
18.8,6.91,0.448,6.03,16.6
30.81,6.91,0.448,5.399,14.4
16.2,6.91,0.448,5.602,19.4
13.45,5.64,0.439,5.963,19.7
9.43,5.64,0.439,6.115,20.5
5.28,5.64,0.439,6.511,25
8.43,5.64,0.439,5.998,23.4
14.8,4,0.41,5.888,18.9
4.81,1.22,0.403,7.249,35.4
5.77,0.74,0.41,6.383,24.7
3.95,1.32,0.411,6.816,31.6
6.86,5.13,0.453,6.145,23.3
9.22,5.13,0.453,5.927,19.6
13.15,5.13,0.453,5.741,18.7
14.44,5.13,0.453,5.966,16
6.73,5.13,0.453,6.456,22.2
9.5,5.13,0.453,6.762,25
8.05,1.38,0.4161,7.104,33
4.67,3.37,0.398,6.29,23.5
10.24,3.37,0.398,5.787,19.4
8.1,6.07,0.409,5.878,22
13.09,6.07,0.409,5.594,17.4
8.79,6.07,0.409,5.885,20.9
6.72,10.81,0.413,6.417,24.2
9.88,10.81,0.413,5.961,21.7
5.52,10.81,0.413,6.065,22.8
7.54,10.81,0.413,6.245,23.4
6.78,12.83,0.437,6.273,24.1
8.94,12.83,0.437,6.286,21.4
11.97,12.83,0.437,6.279,20
10.27,12.83,0.437,6.14,20.8
12.34,12.83,0.437,6.232,21.2
9.1,12.83,0.437,5.874,20.3
5.29,4.86,0.426,6.727,28
7.22,4.86,0.426,6.619,23.9
6.72,4.86,0.426,6.302,24.8
7.51,4.86,0.426,6.167,22.9
9.62,4.49,0.449,6.389,23.9
6.53,4.49,0.449,6.63,26.6
12.86,4.49,0.449,6.015,22.5
8.44,4.49,0.449,6.121,22.2
5.5,3.41,0.489,7.007,23.6
5.7,3.41,0.489,7.079,28.7
8.81,3.41,0.489,6.417,22.6
8.2,3.41,0.489,6.405,22
8.16,15.04,0.464,6.442,22.9
6.21,15.04,0.464,6.211,25
10.59,15.04,0.464,6.249,20.6
6.65,2.89,0.445,6.625,28.4
11.34,2.89,0.445,6.163,21.4
4.21,2.89,0.445,8.069,38.7
3.57,2.89,0.445,7.82,43.8
6.19,2.89,0.445,7.416,33.2
9.42,8.56,0.52,6.727,27.5
7.67,8.56,0.52,6.781,26.5
10.63,8.56,0.52,6.405,18.6
13.44,8.56,0.52,6.137,19.3
12.33,8.56,0.52,6.167,20.1
16.47,8.56,0.52,5.851,19.5
18.66,8.56,0.52,5.836,19.5
14.09,8.56,0.52,6.127,20.4
12.27,8.56,0.52,6.474,19.8
15.55,8.56,0.52,6.229,19.4
13,8.56,0.52,6.195,21.7
10.16,10.01,0.547,6.715,22.8
16.21,10.01,0.547,5.913,18.8
17.09,10.01,0.547,6.092,18.7
10.45,10.01,0.547,6.254,18.5
15.76,10.01,0.547,5.928,18.3
12.04,10.01,0.547,6.176,21.2
10.3,10.01,0.547,6.021,19.2
15.37,10.01,0.547,5.872,20.4
13.61,10.01,0.547,5.731,19.3
14.37,25.65,0.581,5.87,22
14.27,25.65,0.581,6.004,20.3
17.93,25.65,0.581,5.961,20.5
25.41,25.65,0.581,5.856,17.3
17.58,25.65,0.581,5.879,18.8
14.81,25.65,0.581,5.986,21.4
27.26,25.65,0.581,5.613,15.7
17.19,21.89,0.624,5.693,16.2
15.39,21.89,0.624,6.431,18
18.34,21.89,0.624,5.637,14.3
12.6,21.89,0.624,6.458,19.2
12.26,21.89,0.624,6.326,19.6
11.12,21.89,0.624,6.372,23
15.03,21.89,0.624,5.822,18.4
17.31,21.89,0.624,5.757,15.6
16.96,21.89,0.624,6.335,18.1
16.9,21.89,0.624,5.942,17.4
14.59,21.89,0.624,6.454,17.1
21.32,21.89,0.624,5.857,13.3
18.46,21.89,0.624,6.151,17.8
24.16,21.89,0.624,6.174,14
34.41,21.89,0.624,5.019,14.4
26.82,19.58,0.871,5.403,13.4
26.42,19.58,0.871,5.468,15.6
29.29,19.58,0.871,4.903,11.8
27.8,19.58,0.871,6.13,13.8
16.65,19.58,0.871,5.628,15.6
29.53,19.58,0.871,4.926,14.6
28.32,19.58,0.871,5.186,17.8
21.45,19.58,0.871,5.597,15.4
14.1,19.58,0.871,6.122,21.5
13.28,19.58,0.871,5.404,19.6
12.12,19.58,0.871,5.012,15.3
15.79,19.58,0.871,5.709,19.4
15.12,19.58,0.871,6.129,17
15.02,19.58,0.871,6.152,15.6
16.14,19.58,0.871,5.272,13.1
4.59,19.58,0.605,6.943,41.3
6.43,19.58,0.605,6.066,24.3
7.39,19.58,0.871,6.51,23.3
5.5,19.58,0.605,6.25,27
1.73,19.58,0.605,7.489,50
1.92,19.58,0.605,7.802,50
3.32,19.58,0.605,8.375,50
11.64,19.58,0.605,5.854,22.7
9.81,19.58,0.605,6.101,25
3.7,19.58,0.605,7.929,50
12.14,19.58,0.605,5.877,23.8
11.1,19.58,0.605,6.319,23.8
11.32,19.58,0.605,6.402,22.3
14.43,19.58,0.605,5.875,17.4
12.03,19.58,0.605,5.88,19.1
14.69,4.05,0.51,5.572,23.1
9.04,4.05,0.51,6.416,23.6
9.64,4.05,0.51,5.859,22.6
5.33,4.05,0.51,6.546,29.4
10.11,4.05,0.51,6.02,23.2
6.29,4.05,0.51,6.315,24.6
6.92,4.05,0.51,6.86,29.9
5.04,2.46,0.488,6.98,37.2
7.56,2.46,0.488,7.765,39.8
9.45,2.46,0.488,6.144,36.2
4.82,2.46,0.488,7.155,37.9
5.68,2.46,0.488,6.563,32.5
13.98,2.46,0.488,5.604,26.4
13.15,2.46,0.488,6.153,29.6
4.45,2.46,0.488,7.831,50
6.68,3.44,0.437,6.782,32
4.56,3.44,0.437,6.556,29.8
5.39,3.44,0.437,7.185,34.9
5.1,3.44,0.437,6.951,37
4.69,3.44,0.437,6.739,30.5
2.87,3.44,0.437,7.178,36.4
5.03,2.93,0.401,6.8,31.1
4.38,2.93,0.401,6.604,29.1
2.97,0.46,0.422,7.875,50
4.08,1.52,0.404,7.287,33.3
8.61,1.52,0.404,7.107,30.3
6.62,1.52,0.404,7.274,34.6
4.56,1.47,0.403,6.975,34.9
4.45,1.47,0.403,7.135,32.9
7.43,2.03,0.415,6.162,24.1
3.11,2.03,0.415,7.61,42.3
3.81,2.68,0.4161,7.853,48.5
2.88,2.68,0.4161,8.034,50
10.87,10.59,0.489,5.891,22.6
10.97,10.59,0.489,6.326,24.4
18.06,10.59,0.489,5.783,22.5
14.66,10.59,0.489,6.064,24.4
23.09,10.59,0.489,5.344,20
17.27,10.59,0.489,5.96,21.7
23.98,10.59,0.489,5.404,19.3
16.03,10.59,0.489,5.807,22.4
9.38,10.59,0.489,6.375,28.1
29.55,10.59,0.489,5.412,23.7
9.47,10.59,0.489,6.182,25
13.51,13.89,0.55,5.888,23.3
9.69,13.89,0.55,6.642,28.7
17.92,13.89,0.55,5.951,21.5
10.5,13.89,0.55,6.373,23
9.71,6.2,0.507,6.951,26.7
21.46,6.2,0.507,6.164,21.7
9.93,6.2,0.507,6.879,27.5
7.6,6.2,0.507,6.618,30.1
4.14,6.2,0.504,8.266,44.8
4.63,6.2,0.504,8.725,50
3.13,6.2,0.504,8.04,37.6
6.36,6.2,0.504,7.163,31.6
3.92,6.2,0.504,7.686,46.7
3.76,6.2,0.504,6.552,31.5
11.65,6.2,0.504,5.981,24.3
5.25,6.2,0.504,7.412,31.7
2.47,6.2,0.507,8.337,41.7
3.95,6.2,0.507,8.247,48.3
8.05,6.2,0.507,6.726,29
10.88,6.2,0.507,6.086,24
9.54,6.2,0.507,6.631,25.1
4.73,6.2,0.507,7.358,31.5
6.36,4.93,0.428,6.481,23.7
7.37,4.93,0.428,6.606,23.3
11.38,4.93,0.428,6.897,22
12.4,4.93,0.428,6.095,20.1
11.22,4.93,0.428,6.358,22.2
5.19,4.93,0.428,6.393,23.7
12.5,5.86,0.431,5.593,17.6
18.46,5.86,0.431,5.605,18.5
9.16,5.86,0.431,6.108,24.3
10.15,5.86,0.431,6.226,20.5
9.52,5.86,0.431,6.433,24.5
6.56,5.86,0.431,6.718,26.2
5.9,5.86,0.431,6.487,24.4
3.59,5.86,0.431,6.438,24.8
3.53,5.86,0.431,6.957,29.6
3.54,5.86,0.431,8.259,42.8
6.57,3.64,0.392,6.108,21.9
9.25,3.64,0.392,5.876,20.9
3.11,3.75,0.394,7.454,44
5.12,3.97,0.647,8.704,50
7.79,3.97,0.647,7.333,36
6.9,3.97,0.647,6.842,30.1
9.59,3.97,0.647,7.203,33.8
7.26,3.97,0.647,7.52,43.1
5.91,3.97,0.647,8.398,48.8
11.25,3.97,0.647,7.327,31
8.1,3.97,0.647,7.206,36.5
10.45,3.97,0.647,5.56,22.8
14.79,3.97,0.647,7.014,30.7
7.44,3.97,0.575,8.297,50
3.16,3.97,0.575,7.47,43.5
13.65,6.96,0.464,5.92,20.7
13,6.96,0.464,5.856,21.1
6.59,6.96,0.464,6.24,25.2
7.73,6.96,0.464,6.538,24.4
6.58,6.96,0.464,7.691,35.2
3.53,6.41,0.447,6.758,32.4
2.98,6.41,0.447,6.854,32
6.05,6.41,0.447,7.267,33.2
4.16,6.41,0.447,6.826,33.1
7.19,6.41,0.447,6.482,29.1
4.85,3.33,0.4429,6.812,35.1
3.76,3.33,0.4429,7.82,45.4
4.59,3.33,0.4429,6.968,35.4
3.01,3.33,0.4429,7.645,46
3.16,1.21,0.401,7.923,50
7.85,2.97,0.4,7.088,32.2
8.23,2.25,0.389,6.453,22
12.93,1.76,0.385,6.23,20.1
7.14,5.32,0.405,6.209,23.2
7.6,5.32,0.405,6.315,22.3
9.51,5.32,0.405,6.565,24.8
3.33,4.95,0.411,6.861,28.5
3.56,4.95,0.411,7.148,37.3
4.7,4.95,0.411,6.63,27.9
8.58,13.92,0.437,6.127,23.9
10.4,13.92,0.437,6.009,21.7
6.27,13.92,0.437,6.678,28.6
7.39,13.92,0.437,6.549,27.1
15.84,13.92,0.437,5.79,20.3
4.97,2.24,0.4,6.345,22.5
4.74,2.24,0.4,7.041,29
6.07,2.24,0.4,6.871,24.8
9.5,6.09,0.433,6.59,22
8.67,6.09,0.433,6.495,26.4
4.86,6.09,0.433,6.982,33.1
6.93,2.18,0.472,7.236,36.1
8.93,2.18,0.472,6.616,28.4
6.47,2.18,0.472,7.42,33.4
7.53,2.18,0.472,6.849,28.2
4.54,9.9,0.544,6.635,22.8
9.97,9.9,0.544,5.972,20.3
12.64,9.9,0.544,4.973,16.1
5.98,9.9,0.544,6.122,22.1
11.72,9.9,0.544,6.023,19.4
7.9,9.9,0.544,6.266,21.6
9.28,9.9,0.544,6.567,23.8
11.5,9.9,0.544,5.705,16.2
18.33,9.9,0.544,5.914,17.8
15.94,9.9,0.544,5.782,19.8
10.36,9.9,0.544,6.382,23.1
12.73,9.9,0.544,6.113,21
7.2,7.38,0.493,6.426,23.8
6.87,7.38,0.493,6.376,23.1
7.7,7.38,0.493,6.041,20.4
11.74,7.38,0.493,5.708,18.5
6.12,7.38,0.493,6.415,25
5.08,7.38,0.493,6.431,24.6
6.15,7.38,0.493,6.312,23
12.79,7.38,0.493,6.083,22.2
9.97,3.24,0.46,5.868,19.3
7.34,3.24,0.46,6.333,22.6
9.09,3.24,0.46,6.144,19.8
12.43,6.06,0.4379,5.706,17.1
7.83,6.06,0.4379,6.031,19.4
5.68,5.19,0.515,6.316,22.2
6.75,5.19,0.515,6.31,20.7
8.01,5.19,0.515,6.037,21.1
9.8,5.19,0.515,5.869,19.5
10.56,5.19,0.515,5.895,18.5
8.51,5.19,0.515,6.059,20.6
9.74,5.19,0.515,5.985,19
9.29,5.19,0.515,5.968,18.7
5.49,1.52,0.442,7.241,32.7
8.65,1.89,0.518,6.54,16.5
7.18,3.78,0.484,6.696,23.9
4.61,3.78,0.484,6.874,31.2
10.53,4.39,0.442,6.014,17.5
12.67,4.39,0.442,5.898,17.2
6.36,4.15,0.429,6.516,23.1
5.99,2.01,0.435,6.635,24.5
5.89,1.25,0.429,6.939,26.6
5.98,1.25,0.429,6.49,22.9
5.49,1.69,0.411,6.579,24.1
7.79,1.69,0.411,5.884,18.6
4.5,2.02,0.41,6.728,30.1
8.05,1.91,0.413,5.663,18.2
5.57,1.91,0.413,5.936,20.6
17.6,18.1,0.77,6.212,17.8
13.27,18.1,0.77,6.395,21.7
11.48,18.1,0.77,6.127,22.7
12.67,18.1,0.77,6.112,22.6
7.79,18.1,0.77,6.398,25
14.19,18.1,0.77,6.251,19.9
10.19,18.1,0.77,5.362,20.8
14.64,18.1,0.77,5.803,16.8
5.29,18.1,0.718,8.78,21.9
7.12,18.1,0.718,3.561,27.5
14,18.1,0.718,4.963,21.9
13.33,18.1,0.631,3.863,23.1
3.26,18.1,0.631,4.97,50
3.73,18.1,0.631,6.683,50
2.96,18.1,0.631,7.016,50
9.53,18.1,0.631,6.216,50
8.88,18.1,0.668,5.875,50
34.77,18.1,0.668,4.906,13.8
37.97,18.1,0.668,4.138,13.8
13.44,18.1,0.671,7.313,15
23.24,18.1,0.671,6.649,13.9
21.24,18.1,0.671,6.794,13.3
23.69,18.1,0.671,6.38,13.1
21.78,18.1,0.671,6.223,10.2
17.21,18.1,0.671,6.968,10.4
21.08,18.1,0.671,6.545,10.9
23.6,18.1,0.7,5.536,11.3
24.56,18.1,0.7,5.52,12.3
30.63,18.1,0.7,4.368,8.8
30.81,18.1,0.7,5.277,7.2
28.28,18.1,0.7,4.652,10.5
31.99,18.1,0.7,5,7.4
30.62,18.1,0.7,4.88,10.2
20.85,18.1,0.7,5.39,11.5
17.11,18.1,0.7,5.713,15.1
18.76,18.1,0.7,6.051,23.2
25.68,18.1,0.7,5.036,9.7
15.17,18.1,0.693,6.193,13.8
16.35,18.1,0.693,5.887,12.7
17.12,18.1,0.693,6.471,13.1
19.37,18.1,0.693,6.405,12.5
19.92,18.1,0.693,5.747,8.5
30.59,18.1,0.693,5.453,5
29.97,18.1,0.693,5.852,6.3
26.77,18.1,0.693,5.987,5.6
20.32,18.1,0.693,6.343,7.2
20.31,18.1,0.693,6.404,12.1
19.77,18.1,0.693,5.349,8.3
27.38,18.1,0.693,5.531,8.5
22.98,18.1,0.693,5.683,5
23.34,18.1,0.659,4.138,11.9
12.13,18.1,0.659,5.608,27.9
26.4,18.1,0.597,5.617,17.2
19.78,18.1,0.597,6.852,27.5
10.11,18.1,0.597,5.757,15
21.22,18.1,0.597,6.657,17.2
34.37,18.1,0.597,4.628,17.9
20.08,18.1,0.597,5.155,16.3
36.98,18.1,0.693,4.519,7
29.05,18.1,0.679,6.434,7.2
25.79,18.1,0.679,6.782,7.5
26.64,18.1,0.679,5.304,10.4
20.62,18.1,0.679,5.957,8.8
22.74,18.1,0.718,6.824,8.4
15.02,18.1,0.718,6.411,16.7
15.7,18.1,0.718,6.006,14.2
14.1,18.1,0.614,5.648,20.8
23.29,18.1,0.614,6.103,13.4
17.16,18.1,0.584,5.565,11.7
24.39,18.1,0.679,5.896,8.3
15.69,18.1,0.584,5.837,10.2
14.52,18.1,0.679,6.202,10.9
21.52,18.1,0.679,6.193,11
24.08,18.1,0.679,6.38,9.5
17.64,18.1,0.584,6.348,14.5
19.69,18.1,0.584,6.833,14.1
12.03,18.1,0.584,6.425,16.1
16.22,18.1,0.713,6.436,14.3
15.17,18.1,0.713,6.208,11.7
23.27,18.1,0.74,6.629,13.4
18.05,18.1,0.74,6.461,9.6
26.45,18.1,0.74,6.152,8.7
34.02,18.1,0.74,5.935,8.4
22.88,18.1,0.74,5.627,12.8
22.11,18.1,0.74,5.818,10.5
19.52,18.1,0.74,6.406,17.1
16.59,18.1,0.74,6.219,18.4
18.85,18.1,0.74,6.485,15.4
23.79,18.1,0.74,5.854,10.8
23.98,18.1,0.74,6.459,11.8
17.79,18.1,0.74,6.341,14.9
16.44,18.1,0.74,6.251,12.6
18.13,18.1,0.713,6.185,14.1
19.31,18.1,0.713,6.417,13
17.44,18.1,0.713,6.749,13.4
17.73,18.1,0.713,6.655,15.2
17.27,18.1,0.713,6.297,16.1
16.74,18.1,0.713,7.393,17.8
18.71,18.1,0.713,6.728,14.9
18.13,18.1,0.713,6.525,14.1
19.01,18.1,0.713,5.976,12.7
16.94,18.1,0.713,5.936,13.5
16.23,18.1,0.713,6.301,14.9
14.7,18.1,0.713,6.081,20
16.42,18.1,0.713,6.701,16.4
14.65,18.1,0.713,6.376,17.7
13.99,18.1,0.713,6.317,19.5
10.29,18.1,0.713,6.513,20.2
13.22,18.1,0.655,6.209,21.4
14.13,18.1,0.655,5.759,19.9
17.15,18.1,0.655,5.952,19
21.32,18.1,0.584,6.003,19.1
18.13,18.1,0.58,5.926,19.1
14.76,18.1,0.58,5.713,20.1
16.29,18.1,0.58,6.167,19.9
12.87,18.1,0.532,6.229,19.6
14.36,18.1,0.58,6.437,23.2
11.66,18.1,0.614,6.98,29.8
18.14,18.1,0.584,5.427,13.8
24.1,18.1,0.584,6.162,13.3
18.68,18.1,0.614,6.484,16.7
24.91,18.1,0.614,5.304,12
18.03,18.1,0.614,6.185,14.6
13.11,18.1,0.614,6.229,21.4
10.74,18.1,0.532,6.242,23
7.74,18.1,0.532,6.75,23.7
7.01,18.1,0.532,7.061,25
10.42,18.1,0.532,5.762,21.8
13.34,18.1,0.583,5.871,20.6
10.58,18.1,0.583,6.312,21.2
14.98,18.1,0.583,6.114,19.1
11.45,18.1,0.583,5.905,20.6
18.06,27.74,0.609,5.454,15.2
23.97,27.74,0.609,5.414,7
29.68,27.74,0.609,5.093,8.1
18.07,27.74,0.609,5.983,13.6
13.35,27.74,0.609,5.983,20.1
12.01,9.69,0.585,5.707,21.8
13.59,9.69,0.585,5.926,24.5
17.6,9.69,0.585,5.67,23.1
21.14,9.69,0.585,5.39,19.7
14.1,9.69,0.585,5.794,18.3
12.92,9.69,0.585,6.019,21.2
15.1,9.69,0.585,5.569,17.5
14.33,9.69,0.585,6.027,16.8
9.67,11.93,0.573,6.593,22.4
9.08,11.93,0.573,6.12,20.6
5.64,11.93,0.573,6.976,23.9
6.48,11.93,0.573,6.794,22
7.88,11.93,0.573,6.03,11.9
